index,close,open,high,low,volume
1620259200,57028.5,57553.5,57675.0,56687.5,111591027
1620262800,56899.5,57028.5,57257.5,56681.5,73371210
1620266400,57145.5,56899.5,57220.0,56825.0,41574835
1620270000,56930.0,57145.5,57146.0,56737.5,35840440
1620273600,57029.0,56930.0,57615.0,56861.5,80448216
1620277200,57257.0,57029.0,57400.0,56875.5,41255152
1620280800,56673.5,57257.0,57257.0,56577.0,76584641
1620284400,56899.5,56673.5,56964.0,56500.0,65009037
1620288000,56996.0,56899.5,57260.0,56873.5,58858496
1620291600,57323.5,56996.0,57384.5,56866.5,52202069
1620295200,58068.0,57323.5,58428.5,57204.5,150152061
1620298800,58114.0,58068.0,58224.5,57792.0,67926316
1620302400,57776.5,58114.0,58181.5,57599.0,65751311
1620306000,57355.5,57776.5,57820.5,57187.5,102940093
1620309600,57293.5,57355.5,57488.0,56983.5,72341690
1620313200,57195.5,57293.5,57455.0,56899.0,89695993
1620316800,56834.0,57195.5,57554.0,56700.0,136657662
1620320400,56913.0,56834.0,57146.0,56834.0,53432112
1620324000,55800.0,56913.0,57061.5,55575.0,240076564
1620327600,56196.0,55800.0,56374.0,55342.0,166851514
1620331200,55997.0,56196.0,56300.5,55747.0,79414375
1620334800,56371.0,55997.0,56486.0,55970.5,28274466
1620338400,56513.5,56371.0,56597.5,56260.5,31115339
1620342000,56417.0,56513.5,56813.0,56324.0,50202866
1620345600,56422.0,56417.0,57121.5,56132.0,93712070
1620349200,56227.5,56422.0,56545.0,55975.0,107256060
1620352800,55881.5,56227.5,56443.5,55557.0,92745453
1620356400,55760.5,55881.5,56173.0,55557.0,61679809
1620360000,55881.5,55760.5,55913.0,55313.0,79844395
1620363600,55850.0,55881.5,56106.5,55788.0,55775795
1620367200,56163.5,55850.0,56227.5,55700.0,37854345
1620370800,55837.5,56163.5,56322.5,55780.5,50232661
1620374400,56136.0,55837.5,56176.0,55640.0,55269541
1620378000,56283.5,56136.0,56539.5,56136.0,49637520
1620381600,56454.0,56283.5,56705.0,56283.5,57049159
1620385200,56513.0,56454.0,56811.0,56283.5,47712008
1620388800,57487.5,56513.0,57600.0,56290.0,147389860
1620392400,57084.0,57487.5,57720.5,57055.0,98654698
1620396000,57192.0,57084.0,57285.5,56834.0,74103653
1620399600,57587.5,57192.0,57687.0,57159.0,69120635
1620403200,58399.0,57587.5,58399.0,57258.0,152364674
1620406800,58224.5,58399.0,58781.5,58100.0,146507942
1620410400,57996.0,58224.5,58224.5,57784.0,61846916
1620414000,57686.5,57996.0,58055.5,57520.5,76254796
1620417600,57720.5,57686.5,58151.0,57520.5,63075599
1620421200,57488.0,57720.5,57720.5,57308.5,43924959
1620424800,57127.0,57488.0,57654.0,56888.0,70577550
1620428400,57422.0,57127.0,57455.0,57126.5,41631248
1620432000,57786.5,57422.0,57820.5,57036.0,82388861
1620435600,57653.5,57786.5,57849.5,57553.5,26347902
1620439200,58326.5,57653.5,58379.0,57653.5,81242272
1620442800,58190.5,58326.5,58473.0,58089.5,59382835
1620446400,58180.0,58190.5,58728.0,58088.5,72737447
1620450000,58000.0,58180.0,58180.0,57950.0,39218944
1620453600,57919.5,58000.0,58055.5,57649.0,51555247
1620457200,58599.0,57919.5,58668.5,57775.0,73701805
1620460800,59038.0,58599.0,59526.0,58599.5,252922833
1620464400,58951.5,59038.0,59294.5,58806.0,75638056
1620468000,58668.5,58951.5,59000.0,58479.0,74383419
1620471600,58702.5,58668.5,58875.5,58530.5,30874285
1620475200,58957.5,58702.5,59226.0,58394.0,78402756
1620478800,59014.0,58957.5,59548.0,58849.0,102252154
1620482400,59049.5,59014.0,59189.5,58800.0,62357260
1620486000,57654.0,59049.5,59049.5,57439.0,208349712
1620489600,58462.5,57654.0,58599.5,57654.0,140307706
1620493200,59049.5,58462.5,59154.5,58292.0,97665534
1620496800,59189.0,59049.5,59378.0,59049.0,52526616
1620500400,59164.5,59189.0,59405.5,59049.0,58304336
1620504000,59048.5,59164.5,59646.0,58910.0,88512459
1620507600,58875.5,59048.5,59184.0,58793.0,27764923
1620511200,58691.0,58875.5,59242.0,58640.0,52967422
1620514800,59000.0,58691.0,59000.0,58633.5,43714632
1620518400,58663.0,59000.0,59189.5,58663.0,45384938
1620522000,59248.0,58663.0,59341.5,58500.0,94296384
1620525600,58800.0,59248.0,59250.0,58668.0,60002194
1620529200,58733.0,58800.0,59200.5,58599.0,139233504
1620532800,58258.0,58733.0,58945.0,57938.0,215873736
1620536400,58535.5,58258.0,58650.0,58060.0,47720349
1620540000,58462.0,58535.5,58665.5,58360.0,34915949
1620543600,58042.5,58462.0,58462.5,57817.5,81192444
1620547200,58258.0,58042.5,58298.0,57920.5,46103735
1620550800,58055.5,58258.0,58475.5,57700.0,92420788
1620554400,58052.5,58055.5,58122.5,57620.0,60719133
1620558000,58021.0,58052.5,58326.5,57980.0,74738982
1620561600,56481.5,58021.0,58055.5,56350.0,292696625
1620565200,57290.0,56481.5,57356.0,56481.0,130814260
1620568800,57224.5,57290.0,57488.0,57224.5,62983709
1620572400,57455.0,57224.5,57487.5,57080.0,38964862
1620576000,57653.5,57455.0,57921.0,57388.5,85745687
1620579600,57490.5,57653.5,57687.0,57355.5,39764036
1620583200,57487.5,57490.5,57667.5,57290.0,44154618
1620586800,57325.0,57487.5,57587.5,57126.5,54935962
1620590400,57920.5,57325.0,57970.0,57258.0,82396882
1620594000,58089.0,57920.5,58220.0,57920.5,42192192
1620597600,58004.5,58089.0,58292.5,57980.5,37653151
1620601200,58299.5,58004.5,58497.0,58004.0,47458500
1638748800,48796.5,49434.0,49487.0,48456.5,57117800
1638752400,48858.5,48796.5,49039.5,48323.5,40545500
1638756000,48905.5,48858.5,49176.0,48793.0,18679900
1638759600,49073.0,48905.5,49239.5,48847.0,23518400
1638763200,49020.0,49073.0,49299.5,49001.5,17906100
1638766800,48733.0,49020.0,49117.5,48733.0,25357800
1638770400,48201.0,48733.0,48789.5,48100.0,47415200
1638774000,48443.5,48201.0,48456.0,47750.0,61132800
1638777600,48204.0,48443.5,49477.0,47893.0,152526400
1638781200,47482.0,48204.0,48359.5,47156.5,86783700
1638784800,47511.0,47482.0,47827.0,47333.5,58300500
1638788400,48649.0,47511.0,48797.0,47247.5,113847100
1638792000,48510.5,48649.0,48852.0,48355.0,57628800
1638795600,48350.0,48510.5,48720.5,48036.0,53178100
1638799200,48234.5,48350.0,48614.0,47827.0,82347700
1638802800,48986.5,48234.5,48999.0,48064.0,51176500
1638806400,49163.5,48986.5,49238.0,48700.5,40212700
1638810000,49000.0,49163.5,49288.0,48914.0,25966400
1638813600,49198.0,49000.0,49258.5,48825.0,24482800
1638817200,49136.5,49198.0,49390.0,49121.0,17355600
1638820800,48860.0,49136.5,49263.0,48810.0,12526600
1638824400,50091.5,48860.0,50617.5,48847.5,79490100
1638828000,50783.5,50091.5,50935.0,50092.0,67775800
1638831600,50467.0,50783.5,50899.5,50303.5,69837400
1638835200,50679.0,50467.0,50780.0,50366.0,31161300
1638838800,50645.5,50679.0,51488.0,50381.5,68990200
1638842400,50674.5,50645.5,50895.0,50592.5,17890700
1638846000,50960.0,50674.5,51042.0,50633.0,20285800
1638849600,50936.0,50960.0,51225.5,50831.5,27268300
1638853200,50915.5,50936.0,51245.5,50882.5,16415700
1638856800,51188.0,50915.5,51218.0,50916.0,11595000
1638860400,50952.5,51188.0,51360.0,50856.0,19451700
1638864000,51256.0,50952.5,51323.0,50871.5,29341000
1638867600,51285.5,51256.0,51582.0,51076.0,54322800
1638871200,51344.5,51285.5,51397.5,51150.0,12126800
1638874800,51500.0,51344.5,51543.0,51310.0,21727600
1638878400,50974.0,51500.0,51598.5,50688.5,75101400
1638882000,50969.0,50974.0,51132.5,50900.0,27546100
1638885600,51500.5,50969.0,51515.5,50900.5,33142600
1638889200,51793.0,51500.5,51973.5,51421.5,61182100
1638892800,51376.5,51793.0,51900.0,51126.5,34712100
1638896400,51034.5,51376.5,51400.0,50901.5,16440100
1638900000,50955.5,51034.5,51219.0,50950.0,18981200
1638903600,50913.0,50955.5,51228.0,50736.0,46730900
1638907200,50497.0,50913.0,51031.0,50196.5,44068500
1638910800,50519.5,50497.0,50860.0,50401.5,44510900
1638914400,50272.5,50519.5,50641.0,50058.0,34558500
1638918000,50618.5,50272.5,50737.5,50181.0,17834100
1638921600,50743.0,50618.5,50765.5,50347.5,27807100
1638925200,50453.5,50743.0,50816.0,50353.5,18280100
1638928800,50344.0,50453.5,50717.0,50333.0,19971500
1638932400,50152.5,50344.0,50495.0,50139.0,17021500
1638936000,50241.0,50152.5,50435.5,50120.0,24714200
1638939600,50430.5,50241.0,50607.5,50183.5,16922100
1638943200,50652.5,50430.5,50741.0,50430.0,18137400
1638946800,50519.5,50652.5,50680.0,50428.5,15594700
1638950400,50425.0,50519.5,50640.0,50308.0,13830800
1638954000,50180.5,50425.0,50550.0,50180.5,17606600
1638957600,49253.5,50180.5,50357.5,49180.0,65594100
1638961200,49211.0,49253.5,49419.0,48851.5,68055800
1638964800,49267.5,49211.0,49360.0,48639.0,55249900
1638968400,49080.0,49267.5,49408.5,49011.5,29808300
1638972000,50767.5,49080.0,51101.5,48956.0,147107500
1638975600,50680.0,50767.5,51232.5,50511.0,52650600
1638979200,50474.5,50680.0,50794.0,50235.5,42924100
1638982800,50300.5,50474.5,50519.5,50201.5,14816100
